book_name,author,number_of_reviews,rating(5),publishing_house,year_of_publication,bookbinding,quantity_of_pages,language,quantity_of_ratings_5,quantity_of_ratings_4,quantity_of_ratings_3,quantity_of_ratings_2,quantity_of_ratings_1
Маленький принц, А. де Сент-Экзюпери,48,5,Эксмо,2016,твердый переплет,112,Русский,48,0,0,0,0
Десять негритят, А. Кристи,2,5,Эксмо,2019,мягкая обложка,288,Русский,2,0,0,0,0
Учимся говорить по-казахски (160 слов и выражений),,27,5,Аруна,2015,мягкая обложка,48,Русский,27,0,0,0,0
Зверополис. Детский графический роман,,27,5,Эксмо,2016,твердый переплет,56,Русский,26,1,0,0,0
Уроки логопеда. Тесты на развитие речи для детей от 2 до 7 лет, Е. М. Косинова,11,4.6,Эксмо,2009,твердый переплет,,Русский,10,0,0,0,1
"Правила умной жены. Ты либо права, либо замужем"," Ш. Шнайдер, Э. Фейн",75,4.7,Эксмо,2015,мягкая обложка,288,Русский,64,5,4,0,2
Мектепке дайындық, А. Байғабылова,23,5,Аруна,2017,мягкая обложка,,дополнительные пособия,23,0,0,0,0
Институт, С. Э. Кинг,,,АСТ,2020,твердый переплет,608,Русский,,,,,
Мотиватор," В. В. Федиенко, Н. В. Зотова",,,Росмэн,2020,твердый переплет,192,Русский,,,,,
Унесенные ветром. Том 1, М. Митчелл,,,АСТ,2020,мягкая обложка,704,Русский,,,,,
Маленький принц, А. де Сент-Экзюпери,8,4.8,Мартин,2019,твердый переплет,96,Русский,6,2,0,0,0
Физическая карта мира. Политическая карта мира,,41,4.9,АСТ,2018,мягкая обложка,2,"плакаты, настенные карты",36,4,1,0,0
Remodelista. Уютный дом. Простые и стильные идеи организации пространства," Д. Карлсон, М. Гуральник",4,4.8,"Манн, Иванов и Фербер",2018,твердый переплет,208,Русский,3,1,0,0,0
Иметь или быть?, Э. Фромм,4,5,АСТ,2016,мягкая обложка,320,Русский,4,0,0,0,0
Леди Дым, Л. Себастьян,4,5,Freedom,2019,твердый переплет,544,Русский,4,0,0,0,0
Спаси себя. Книга 2, М. Кастен,4,5,Like Book,2019,твердый переплет,352,Русский,4,0,0,0,0
"Вы, конечно, шутите, мистер Фейнман!", Р. Ф. Фейнман,15,5,АСТ,2015,мягкая обложка,480,Русский,15,0,0,0,0
"3 класс. Математика. Рабочая тетрадь №1,2,3,4"," А. Б. Акпаева, Л. А. Лебедева",1,5,Алматыкiтап (Алматыкитап),2018,мягкая обложка,284,рабочие тетради,1,0,0,0,0
Гордость и предубеждение, Дж. Остен,1,5,Эксмо,2019,твердый переплет,416,Русский,1,0,0,0,0
Осторожно: еда! Как перестать попадаться на уловки производителей и научиться покупать полезную еду, А. Геворкян,1,5,Эксмо,2020,твердый переплет,208,офсет,1,0,0,0,0
Тайна (новое издание), Р. Берн,14,5,Эксмо,2016,суперобложка,216,Русский,14,0,0,0,0
Зеленая миля, С. Э. Кинг,13,4.9,АСТ,2014,мягкая обложка,448,Русский,12,1,0,0,0
Турецкий за 3 месяца. Интенсивный курс, С. О. Кальмуцкая,7,4.1,АСТ,2019,твердый переплет,256,учебное пособие,3,3,0,1,0
Развивающие карточки на шнурке «Домашние животные»,,14,5,,,,,,,,,,
Я — тортодел!, В.С. Игамбердиева,2,5,АСТ,2019,84x108/16,,Русский,2,0,0,0,0
Год благодати, К. Лиггетт,,,Like Book,2020,твердый переплет,352,офсет,,,,,
Денискины рассказы, В. Ю. Драгунский,60,5,Самовар,2015,твердый переплет,112,Русский,59,1,0,0,0
Никогда не ешьте в одиночку и другие правила нетворкинга, К. Феррацци,19,4.4,"Манн, Иванов и Фербер",2019,твердый переплет,432,Русский,14,1,2,1,1
"Психология убеждения. Важные мелочи, гарантирующие успех", Р. Б. Чалдини,3,3.7,Питер,2020,мягкая обложка,320,Русский,2,0,0,0,1
Тренируй свою память. Японская система сохранения здоровья мозга, Р. Кавашима,17,4.6,Питер,2017,мягкая обложка,112,Русский,13,1,3,0,0
Дизайн интерьера, Н. Митина,9,4.4,Альпина Паблишер,2019,мягкая обложка,302,Русский,7,1,0,0,1
Полка книжная большая,,8,5,,,,,,,,,,8
Цвета и чувства. Ассоциативные метафорические карты в арт-терапии. 50 карточек, Н. Жигамонт,15,4.5,Речь,2016,мягкая обложка,48,Русский,11,2,1,0,1
Методика раннего развития Марии Монтессори. От 6 месяцев до 6 лет, В. Г. Дмитриева,111,4.9,Эксмо,2008,твердый переплет,224,Русский,104,5,0,1,1
Подсознание может все!, Дж. Кехо,6,4.8,Попурри,2019,твердый переплет,160,Русский,5,1,0,0,0
Файлы Фредди. Официальный путеводитель по лучшей хоррор-игре, С. Коутон,6,5,Freedom,2018,твердый переплет,160,Русский,6,0,0,0,0
Добрые сказки и стихи,,49,5,Росмэн,2015,твердый переплет,128,Русский,47,2,0,0,0
Секс. От нейробиологии либидо до виртуального порно. Научно-популярный гид," Дарья Варламова, Е. Фоер",2,5,Альпина нон-фикшн,2020,твердый переплет,354,твердый переплет,2,0,0,0,0
Очень странные дела. Выпускной альбом: Все о школе Хокинса, М. Дж. Гилберт,2,5,Эксмо,2019,твердый переплет,80,Русский,2,0,0,0,0
Вонгозеро, Я. Вагнер,2,5,АСТ,2020,твердый переплет,448,Русский,2,0,0,0,0
Чего ты по-настоящему хочешь? Как ставить цели и достигать их, Бэтчел Беверли,4,5,"Манн, Иванов и Фербер",2018,мягкая обложка,160,Русский,4,0,0,0,0
Двенадцать, Э. Сафарли,1,5,АСТ,2020,твердый переплет,288,Русский,1,0,0,0,0
Годовой курс обучающих занятий: для детей 5-6 лет,,28,5,Эксмо,2013,твердый переплет,320,Русский,28,0,0,0,0
Трансерфинг реальности. Ступень 2. Шелест утренних звезд, В. Зеланд,27,5,Весь,2015,мягкая обложка,224,Русский,27,0,0,0,0
Над пропастью во ржи,,16,4.4,Эксмо,2018,твердый переплет,224,Русский,12,0,3,0,1
"Стратегия голубого океана. Как найти или создать рынок, свободный от других игроков"," Р. Моборн, Чан Ким",8,5,"Манн, Иванов и Фербер",2012,твердый переплет,304,Русский,8,0,0,0,0
Уроки логопеда. Исправление нарушений речи, Н. С. Жукова,48,4.8,Эксмо,2014,твердый переплет,120,Русский,42,5,0,0,1
"Развитие мозга. Как читать быстрее, запоминать лучше и добиваться больших целей", Р. Сайп,17,4.6,"Манн, Иванов и Фербер",2016,твердый переплет,256,Русский,15,0,1,0,1
Моя жизнь. Мои достижения, Г. Форд,22,4.9,Астрель,2015,твердый переплет,349,Русский,20,2,0,0,0
Энциклопедия для девочек, В. С. Дзюненко,,,АСТ,2019,твердый переплет,128,Русский,,,,,
Тихие слова любви, С. Джио,,,Эксмо,2020,мягкая обложка,384,Русский,,,,,
"Неестественные причины. Записки судмедэксперта: громкие убийства, ужасающие теракты и запутанные дела", Р. Шеперд,8,4.6,Эксмо,2019,твердый переплет,416,Русский,6,1,1,0,0
Холодное сердце (выпуск 1),,4,5,Эксмо,2019,твердый переплет,128,Русский,4,0,0,0,0
Русский язык. 2 класс. Все темы. Все варианты заданий," О. В. Узорова, Е. А. Нефедова",1,5,АСТ,2018,мягкая обложка,64,Русский,1,0,0,0,0
"Книга, которой нет. Как бросить беличье колесо и стряхнуть пыль со своей мечты", А.  Новак,62,4.5,Питер,2018,интегральный переплет,128,Русский,49,4,4,3,2
Внутренняя инженерия. Путь радости. Практическое руководство от йога, Д. Васугев,12,5,Эксмо,2018,твердый переплет,336,Русский,12,0,0,0,0
Все английские времена. Формы + согласование. Карточки, Е. А. Андронова,18,4,Питер,2018,мягкая обложка,26,дополнительные пособия,10,2,3,2,1
Как перестать быть овцой. Избавление от страдашек. Шаг за шагом, Н. Набокова,45,4.6,АСТ,2018,твердый переплет,272,Русский,38,3,0,0,4
"Этикет для юной леди. 50 правил, которые должна знать каждая девушка"," Д. Бриджес, Б. Кертис",7,4.4,Эксмо,2012,суперобложка,240,Русский,5,0,2,0,0
Финансист, Т. Драйзер,3,5,АСТ,2018,мягкая обложка,736,Русский,3,0,0,0,0
Думай как чемпион. Откровения магната о жизни и бизнесе," Д. Дж. Трамп, М. Макивер",10,4.9,Эксмо,2016,твердый переплет,224,Русский,9,1,0,0,0
Красная таблетка-2. Вся правда об успехе, А. В. Курпатов,1,4,Капитал,2019,твердый переплет,352,Русский,0,1,0,0,0
"Учимся говорить по-казахски №2, 4+",,9,5,Аруна,2017,мягкая обложка,,Казахский-Русский,9,0,0,0,0
"Чистый код. создание, анализ и рефакторинг. Библиотека программиста", Р. Мартин,3,5,Питер,2019,мягкая обложка,,Русский,3,0,0,0,0
Ведьмак. Последнее желание. Меч предназначения, А. Сапковский,3,4.7,АСТ,2020,твердый переплет,672,Русский,2,1,0,0,0
Дневник Анны Франк. Графическая версия, А. Фольман,4,5,"Манн, Иванов и Фербер",2018,твердый переплет,,Русский,4,0,0,0,0
"Умные кубики. Уши, лапы и хвосты. 50 игр для развития интеллекта (3-5 лет)",,7,5,Айрис-пресс,2015,978-5-8112-7115-3,,Русский,7,0,0,0,0
Крылья, К.Старк,7,5,АСТ,2018,твердый переплет,608,Русский,7,0,0,0,0
Полный курс корейского языка (+CD), Чун Ин Сун,3,4.7,АСТ,2017,мягкая обложка,672,Русский,2,1,0,0,0
Доставляя счастье. От нуля до миллиарда: история создания выдающейся компании из первых рук, Т. Шей,20,5,"Манн, Иванов и Фербер",2016,твердый переплет,304,Русский,20,0,0,0,0
Материнская любовь. Все самые сложные вопросы. Советы и рекомендации, А. А. Некрасов,2,5,АСТ,2019,твердый переплет,512,Русский,2,0,0,0,0
Космос,,62,4.9,Росмэн,2012,твердый переплет,48,Русский,57,3,2,0,0
Щегол, Тартт Д.,12,4.7,Corpus,182015,твердый переплет,832,Русский,11,0,0,0,1
Основы каллиграфии и леттеринга. Прописи, А. Рольская,18,5,"Манн, Иванов и Фербер",2017,мягкая обложка,112,Русский,18,0,0,0,0
Происхождение, Д. Браун,84,4.8,АСТ,2018,твердый переплет,576,Русский,73,5,4,1,1
Рик и Морти. Истории за кадром, К. Старкс,2,5,Комильфо,2019,твердый переплет,400,Русский,2,0,0,0,0
"Поступай как женщина, думай как мужчина. Почему мужчины любят, но не женятся и другие секреты сильного пола", С. Харви,11,4.5,Эксмо,2017,твердый переплет,256,Русский,9,1,0,0,1
Развивай свой мозг. Как перенастроить разум и реализовать собственный потенциал, Дж. Диспенза,8,4.8,Эксмо,2018,твердый переплет,688,Русский,7,0,1,0,0
Достижение максимума. 12 принципов, Б. Трейси,34,4.9,Попурри,2019,твердый переплет,352,Русский,32,1,1,0,0
Братья Карамазовы, Ф. М. Достоевский,29,4.8,Азбука,2018,твердый переплет,832,Русский,24,3,2,0,0
Человек для себя, Э. Фромм,1,5,АСТ,2018,мягкая обложка,320,Русский,1,0,0,0,0
Тайна «Голубого поезда», А. Кристи,1,5,Эксмо,2018,мягкая обложка,352,Русский,1,0,0,0,0
"Монах, который продал свой «феррари». Притча об исполнении желаний и поиске своего предназначения", Р. С. Шарма,1,5,АСТ,2019,твердый переплет,256,Русский,1,0,0,0,0
Гарри Поттер. Учебник магии. Путеводитель по чарам и заклинаниям,,1,3,Эксмо,2019,твердый переплет,48,Русский,0,0,1,0,0
Фрукты,,13,4.9,Мозаика-Синтез,2018,переплет из картона,10,Русский,12,1,0,0,0
Утраченный символ, Д. Браун,19,4.8,АСТ,2014,мягкая обложка,576,Русский,16,2,1,0,0
Чума, А. Камю,6,3.5,АСТ,2014,мягкая обложка,384,Русский,3,0,1,1,1
Моя жизнь, М. К. Ганди,12,4.8,Азбука,2015,мягкая обложка,480,Русский,10,2,0,0,0
"Мужчина и Женщина, или Cherchez La Femme", А. А. Некрасов,12,4.7,АСТ,2018,мягкая обложка,352,Русский,11,0,0,0,1
Как завоевывать друзей и оказывать влияние на людей, Д. Карнеги,10,4.9,Попурри,2020,интегральный переплет,352,Русский,9,1,0,0,0
Обо всем на свете. Энциклопедия интересных фактов, Н. И. Котятова,9,5,Росмэн,2018,твердый переплет,,Русский,9,0,0,0,0
Чужак, С. Э. Кинг,14,4.8,АСТ,2019,твердый переплет,576,Русский,13,0,0,1,0
"Мужчины с Марса, женщины с Венеры. Практики для развития вашего мозга. Как думать эффективнее", Д. Грэй,3,1.7,АСТ,2019,мягкая обложка,320,Русский,0,0,1,0,2
Фитнес-дневник «Start doing don't stop»,,1,3,,,,,,,,,,
Приключения Шерлока Холмса. Pre-Intermediate, А. К. Дойл,2,5,АСТ,2019,мягкая обложка,320,Английский-Русский,2,0,0,0,0
Пять ночей у Фредди. Неправильные, С. Коутон,7,4.9,Freedom,2018,твердый переплет,416,Русский,6,1,0,0,0
Sonic. Битва за Остров Ангела. Комикс. Том 3 (перевод от Diamond Dust и Сыендука), Й. Флинн,1,4,Эксмо,2020,твердый переплет,96,Русский,0,1,0,0,0
4D Энциклопедия «Динозавры»,,63,5,DEVAR,2019,твердый переплет,80,Русский,61,2,0,0,0
125 развивающих игр для детей от 1 до 3 лет, Дж. Силберг,2,5,Попурри,2016,215 x 138 x 5,,Русский,2,0,0,0,0
Граф Монте-Кристо. В 2-х книгах. Книга 2, А. Дюма - отец,2,5,АСТ,2019,твердый переплет,592,Русский,2,0,0,0,0
Сказки для малышей, С. В. Михалков,8,5,Самовар,2009,твердый переплет,96,Русский,8,0,0,0,0
Динозавры. Энциклопедия для детского сада, Л. В. Клюшник,37,5,Росмэн,2017,твердый переплет,,Русский,37,0,0,0,0
Игралочка. Математика для детей 3-4 лет. Часть 1," Е. Е. Кочемасова, Л. Г. Петерсон",66,4.9,Бином,2017,мягкая обложка,64,Русский,61,2,2,1,0
Подсознание может все!, Дж. Кехо,34,4.9,Попурри,2020,твердый переплет,160,офсет,31,3,0,0,0
О дивный новый мир, О. Л. Хаксли,5,5,АСТ,2017,твердый переплет,352,Русский,5,0,0,0,0
Древняя тайна Цветка Жизни," Сутокская И. В., Д. Мельхиседек",3,5,София,2019,твердый переплет,576,Русский,3,0,0,0,0
Годовой курс подготовки к школе. Для детей 6-7 лет," С. В. Пятак, Липская Н.М., И. М. Мальцева",30,5,Эксмо,2018,твердый переплет,320,Русский,30,0,0,0,0
Читаем после азбуки с крупными буквами, Н. Н. Павлова,24,5,ОЛИСС,2018,твердый переплет,64,Русский,24,0,0,0,0
Сделай мужа миллионером, Л. Ренар,22,5,Эксмо,2015,твердый переплет,480,Русский,21,1,0,0,0
Радикальное Прощение. Родители и дети. Почему так важно простить своих близких и как сделать это правильно, К. Типпинг,,,София,2020,твердый переплет,224,Русский,,,,,
Королева искр, Л. Себастьян,,,Эксмо,2020,твердый переплет,544,Русский,,,,,
"Беги, Диппер, беги!",,20,4.9,Эксмо,2019,твердый переплет,128,Русский,18,2,0,0,0
Технический анализ. Полный курс, Швагер Джек Д.,6,5,Альпина Паблишер,2020,твердый переплет,804,Русский,6,0,0,0,0
Так говорил Заратустра, Ф. В. Ницше,4,5,АСТ,2015,мягкая обложка,416,Русский,4,0,0,0,0
"Психосоматика. Как починить душу, чтобы тело работало как часы", Г. В. Старшенбаум,1,5,АСТ,2019,твердый переплет,320,Русский,1,0,0,0,0
Самая большая детская энциклопедия, Коллектив авторов,,,АСТ,2019,твердый переплет,,Русский,,,,,
Сила Намерения. Как реализовать свои мечты и желания, В. В. Синельников,13,5,Центрполиграф,2018,мягкая обложка,160,Русский,13,0,0,0,0
Очень необычная фея, Г. Манкастер,3,5,Эксмо,2019,твердый переплет,144,Русский,3,0,0,0,0
Убийство Роджера Экройда, А. Кристи,3,5,Эксмо,2019,мягкая обложка,352,Русский,3,0,0,0,0
Гравити Фолз. Графический роман. Выпуск 1,,29,4.7,Эксмо,2016,мягкая обложка,232,Русский,24,2,2,0,1
Куриный бульон для души. И я решила — смогу! 101 история, Э. Ньюмарк,17,4.8,Бомбора,2019,мягкая обложка,416,Русский,15,1,0,1,0
Великий Гэтсби, Ф. С. Фицджеральд,2,5,Эксмо,2019,твердый переплет,256,Русский,2,0,0,0,0
Осознанность. Как обрести гармонию в нашем безумном мире," Д. Пенман, М. Уильямс",5,4.4,"Манн, Иванов и Фербер",2016,твердый переплет,288,Русский,3,1,1,0,0
Магия утра для финансовой свободы. Как заложить основы счастливой и богатой жизни, Хэл Элрод,2,5,"Манн, Иванов и Фербер",2019,твердый переплет,272,Русский,2,0,0,0,0
Самые красивые сказки, Коллектив авторов,9,4.9,Росмэн,2018,твердый переплет,128,Русский,8,1,0,0,0
Большое свинство,,17,4.7,Эксмо,2019,твердый переплет,128,Русский,15,1,0,0,1
Книга ангелов, М. Вульф,,,Эксмо,2020,твердый переплет,512,Русский,,,,,
Трудно быть богом," А. Н. Стругацкий, Б. Н. Стругацкий",8,5,АСТ,2015,мягкая обложка,256,Русский,8,0,0,0,0
Мартин Иден. Intermediate, Дж. Лондон,3,5,АСТ,2019,мягкая обложка,320,Английский-Русский,3,0,0,0,0
Евгений Онегин, А. С. Пушкин,7,5,Азбука,2018,твердый переплет,448,Русский,7,0,0,0,0
Трансерфинг реальности. Ступень 1: Пространство вариантов, В. Зеланд,7,5,Весь,2015,мягкая обложка,272,Русский,7,0,0,0,0
Почему трава зелёная, Т. А. Яценко,19,4.2,Питер,2018,мягкая обложка,,Русский,7,9,3,0,0
Исследование о природе и причинах богатства народов, А. Смит,2,4,АСТ,2019,мягкая обложка,1072,Русский,1,0,1,0,0
Я могу сделать это!, Л. Хей,18,4.4,Эксмо,2016,мягкая обложка,192,Русский,13,3,0,1,1
Моне. Жизнь и творчество в 500 картинах,,1,5,Эксмо,2017,твердый переплет,256,Русский,1,0,0,0,0
Популярный атлас анатомии человека," Л. Н. Палычева, Н. В. Лазарев",1,5,АСТ,2018,твердый переплет,,Русский,1,0,0,0,0
Хрестоматия. 1 класс,,39,4.8,Самовар,2014,твердый переплет,224,Русский,36,1,1,1,0
"Давай поговорим о том, откуда берутся дети. О зачатии, рождении, младенцах и семьях"," Р. Г. Харрис, М. Эмберли",6,5,Эксмо,2016,твердый переплет,88,Русский,6,0,0,0,0
Маленький принц. Южный почтовый. Ночной полет. Планета людей, А. де Сент-Экзюпери,2,5,Азбука,2019,твердый переплет,416,Русский,2,0,0,0,0
Дюна, Ф. Герберт,2,5,АСТ,2020,твердый переплет,704,Русский,2,0,0,0,0
Страны и континенты, Т. В. Степанова,25,4.8,Росмэн,2011,твердый переплет,96,Русский,22,2,1,0,0
Долгая прогулка, С. Э. Кинг,22,4.9,АСТ,2016,мягкая обложка,352,Русский,20,2,0,0,0
Ромео и Джульетта. Отелло, У. Шекспир,,,АСТ,2017,мягкая обложка,384,Русский,,,,,
Дерево растет в Бруклине,,18,4.9,Эксмо,2018,твердый переплет,448,Русский,17,1,0,0,0
7 навыков высокоэффективных семей, С. Р. Кови,4,5,Попурри,2020,мягкая обложка,432,Русский,4,0,0,0,0
Программируем на Python, М. Доусон,4,5,Питер,2019,мягкая обложка,,Русский,4,0,0,0,0
Абсолютная грамотность за 15 минут. 1-4 классы," О. В. Узорова, Е. А. Нефедова",16,4.1,АСТ,2016,мягкая обложка,160,1-4 классы,10,2,1,2,1
Мировой порядок, Г. Киссинджер,1,5,АСТ,2018,мягкая обложка,544,Русский,1,0,0,0,0
Унесенные ветром. Том 2, М. Митчелл,1,5,Эксмо,2020,твердый переплет,640,Русский,1,0,0,0,0
"Локи. Там, где живет ложь", М.Ли,1,5,АСТ,2020,твердый переплет,352,Русский,1,0,0,0,0
Эмма (кинообложка), Дж. Остен,1,5,АСТ,2020,твердый переплет,480,Русский,1,0,0,0,0
"Магнит счастья. Как привлечь в свою жизнь все, что хочешь", Э. Мэтьюз,13,5,Эксмо,2015,твердый переплет,256,Русский,13,0,0,0,0
Полный годовой курс для занятий с детьми 2-3 лет (комплект)," Е. А. Янушко, Д. Денисова",58,4.9,Мозаика-Синтез,2011,мягкая обложка,192,Русский,53,4,1,0,0
Хрестоматия для внеклассного чтения. 5 класс,,3,5,Росмэн,2016,твердый переплет,224,5 класс,3,0,0,0,0
Правила. Как выйти замуж за мужчину своей мечты," Ш. Шнайдер, Э. Фейн",46,4.5,Эксмо,2012,мягкая обложка,448,Русский,37,2,3,3,1
Сказки Х.К.Андерсена, Г.  Х. Андерсен,27,5,Самовар,2011,твердый переплет,128,Русский,26,1,0,0,0
Таинственный подарок, Э. Дэвид,19,4.8,Эксмо,2016,84x108/32,,Русский,18,0,0,0,1
"Малыш и Карлсон, который живёт на крыше", А. Линдгрен,16,4.6,Махаон,2016,твердый переплет,192,Русский,12,2,2,0,0
Закладка «Book crush»,,9,4.9,,,,,,,,,8,1
Секреты семейного счастья!, З. Аляутдинова,6,4.3,Диля,2019,интегральный переплет,320,Русский,5,0,0,0,1
Бойня №5, К. Воннегут,6,4,АСТ,2014,мягкая обложка,224,Русский,1,4,1,0,0
Карьера программиста, М. Г. Лакман,,,Питер,2019,мягкая обложка,688,Русский,,,,,
Логопедический массаж. Игры и упражнения для детей раннего и дошкольного возраста," С. Ю. Танцюра, И. Ю. Оглоблина",14,5,Сфера,2015,мягкая обложка,64,Русский,14,0,0,0,0
Эгоистичный ген, Докинз Р.,7,4.9,АСТ,2013,твердый переплет,512,Русский,6,1,0,0,0
Ведьма огненного ветра. Ответный визит, Н. М. Кузьмина,2,4,Эксмо,2019,твердый переплет,448,Русский,1,0,1,0,0
Время жить и время умирать, Э. М. Ремарк,2,5,АСТ,2018,мягкая обложка,448,Русский,2,0,0,0,0
"Человек, который смеется", В. Гюго,2,5,Эксмо,2019,твердый переплет,640,Русский,2,0,0,0,0
Психологическое айкидо. Учебное пособие, М. Е. Литвак,6,4.7,Феникс,2020,мягкая обложка,217,Русский,4,2,0,0,0
Война миров, Г.  Уэллс,5,5,АСТ,2014,мягкая обложка,288,Русский,5,0,0,0,0
Сверхъестественный разум. Как обычные люди делают невозможное с помощью силы подсознания, Дж. Диспенза,5,5,Эксмо,2017,твердый переплет,560,Русский,5,0,0,0,0
Искусство ясно мыслить, Р. Добелли,,,"Манн, Иванов и Фербер",2020,твердый переплет,208,твердый переплет,,,,,
"Мозгоускорители: Как научиться эффективно мыслить, используя приемы из разных наук", Нисбетт Ричард,4,5,Альпина Паблишер,2019,мягкая обложка,320,Русский,4,0,0,0,0
Годовой курс занятий: для детей 5-6 лет (с наклейками)," В. Г. Зарапин, Е. Лазарь, О. Мельниченко",44,4.8,Эксмо,2017,интегральный переплет,224,Русский,40,2,0,2,0
Just f*cking do it! Хватит мечтать — пришло время жить по-настоящему, С. Найт,,,Бомбора,2019,мягкая обложка,256,Русский,,,,,
Капитал, К. Маркс,,,АСТ,2019,мягкая обложка,544,Русский,,,,,
Последняя песня, Н. Спаркс,36,4.9,АСТ,2014,мягкая обложка,416,Русский,35,0,1,0,0
Полный курс математики. 3 класс," О. В. Узорова, Е. А. Нефедова",4,5,Астрель,2016,мягкая обложка,320,Русский,4,0,0,0,0
"Речевой тренажер. Как говорить по-английски, не запинаясь (аудиокурс)", И. А. Гивенталь,4,4.8,Прогресс книга,2018,мягкая обложка,240,Русский,3,1,0,0,0
Идиот, Ф. М. Достоевский,4,5,АСТ,2018,твердый переплет,624,Русский,4,0,0,0,0
"Что делать, если… 2. Продолжение полюбившейся и очень полезной книги", Л. В. Петрановская,25,4.9,Астрель,2014,твердый переплет,143,Русский,24,0,1,0,0
"Тайный дневник девушки по вызову. История женщины, которая ведет двойную жизнь",,11,4.3,Бомбора,2018,твердый переплет,368,Русский,7,1,2,1,0
Божественная комедия," Д. Д. Минаев, Д. Алигьери",1,5,АСТ,2016,мягкая обложка,800,Русский,1,0,0,0,0
Смерть на Ниле, А. Кристи,1,5,Эксмо,2018,мягкая обложка,320,Русский,1,0,0,0,0
"Карточки развивающие «Развиваем логику, внимание, память. Готовимся к школе 5+»",,1,5,,,,,,,,,,
Шторм войны, Авеярд В.,1,5,Freedom,2020,твердый переплет,736,Русский,1,0,0,0,0
"Человек, который смеется", В. Гюго,3,5,АСТ,2019,твердый переплет,640,Русский,3,0,0,0,0
"Кишка всему голова. Кожа, вес, иммунитет и счастье — что кроется в извилинах «второго мозга»", Н. А. Зубарева,24,3.9,АСТ,2019,твердый переплет,560,Русский,16,1,1,0,6
Экологическая медицина. Путь будущей цивилизации," В. С. Оганян, Оганян М.В.",10,5,Концептуал,2017,твердый переплет,544,Русский,10,0,0,0,0
Мотылек, А. Шарьер,16,4.8,Азбука,2015,мягкая обложка,640,Русский,14,1,0,1,0
Самые лучшие корейские сказки, Чун Ин Сун,9,5,АСТ,2018,мягкая обложка,160,Русский,9,0,0,0,0
"40 лабиринтов, головоломок и рисовалок для девочек", Е. Попова,6,4,Клевер Медиа Групп,2018,мягкая обложка,,Русский,3,2,0,0,1
Осколки детских травм. Почему мы болеем и как это остановить, Д. Д. Наказава,8,5,Эксмо,2018,твердый переплет,336,Русский,8,0,0,0,0
Karmalogic. Проект Алексея Ситникова, А. П. Ситников,7,4.4,РИПОЛ классик,2018,суперобложка,840,Русский,5,1,0,1,0
Гончие Лилит, К.Старк,7,5,АСТ,2018,твердый переплет,544,Русский,7,0,0,0,0
"Монах, который продал свой «феррари». Притча об исполнении желаний и поиске своего предназначения", Р. С. Шарма,22,4.8,АСТ,2019,мягкая обложка,256,Русский,20,0,2,0,0
Самый великий торговец в мире (синяя), Ог Мандино,11,4.6,Попурри,2019,мягкая обложка,112,Русский,9,1,0,1,0
Девушка из Бруклина, Г. Мюссо,11,4.7,Эксмо,2018,мягкая обложка,416,Русский,9,1,1,0,0
"Первая книга малыша. Стихи, сказки, загадки"," К. И. Чуковский, А. Л. Барто, В. Д. Берестов",77,4.9,Росмэн,2009,твердый переплет,160,Русский,70,5,2,0,0
Если я останусь. If I Stay, Г. Форман,6,4.8,Эксмо,2017,мягкая обложка,464,Английский-Русский,5,1,0,0,0
FreshLife28. Как начать новую жизнь в понедельник и не бросить во вторник, Петряков А.,6,5,Питер,2019,мягкая обложка,272,Русский,6,0,0,0,0
"Свобода от тревоги. Справься с тревогой, пока она не расправилась с тобой", Р. Лихи,2,5,Питер,2017,твердый переплет,368,Русский,2,0,0,0,0
Живые Мысли, А. А. Некрасов,2,5,АСТ,2018,мягкая обложка,512,Русский,2,0,0,0,0
7 шагов к стабильной самооценке, Б. М. Литвак,2,5,АСТ,2019,мягкая обложка,352,Русский,2,0,0,0,0
Почему мы не умеем любить, В. Прах,2,5,АСТ,2019,твердый переплет,256,Русский,2,0,0,0,0
Сила настоящего. The Power of Now. Руководство к духовному пробуждению, Э. Толле,4,4.5,София,2019,твердый переплет,256,Русский,3,0,1,0,0
Мой лучший враг, Э.Фрей,4,4.3,АСТ,2018,твердый переплет,448,Русский,3,0,0,1,0
Парфюмер. История одного убийцы, П. Зюскинд,16,4.4,Азбука,2016,мягкая обложка,320,Русский,13,0,1,1,1
Магнитная азбука, Н. С. Жукова,22,5,Эксмо,2015,твердый переплет,2,Русский,22,0,0,0,0
Как зарабатывать в Instagram, Д. Манелова,1,1,Альпина Паблишер,2020,мягкая обложка,217,Русский,0,0,0,0,1
Бегство от свободы, Э. Фромм,5,5,АСТ,2015,мягкая обложка,288,Русский,5,0,0,0,0
Вязание крючком: шаг за шагом, Т. В. Михайлова,5,5,АСТ,2016,интегральный переплет,96,Русский,5,0,0,0,0
Сам себе плацебо. Как использовать силу подсознания для здоровья и процветания, Дж. Диспенза,5,5,Эксмо,2017,твердый переплет,416,Русский,5,0,0,0,0
Ответ. Проверенная методика достижения недостижимого," А. Пиз, Б. Пиз",5,5,Эксмо,2017,твердый переплет,304,Русский,5,0,0,0,0
Поющие в терновнике, К. Маккалоу,33,4.9,АСТ,2014,твердый переплет,608,Русский,29,4,0,0,0
Дом странных детей, Р. Риггз,75,4.7,Клуб семейного досуга,2016,твердый переплет,432,Русский,63,6,3,3,0
