book_name,author,number_of_reviews,rating(5),publishing_house,year_of_publication,bookbinding,quantity_of_pages,language,quantity_of_ratings_5,quantity_of_ratings_4,quantity_of_ratings_3,quantity_of_ratings_2,quantity_of_ratings_1
Мятная сказка, А. Полярный,,,АСТ,2018,твердый переплет,160,Русский,,,,,
Властелин колец, Дж. Р. Р. Толкин,,,АСТ,2019,твердый переплет,1312,Русский,,,,,
Волшебник Изумрудного города, А. М. Волков,30,4.7,Росмэн,2015,твердый переплет,192,Русский,25,3,1,0,1
Лучшее во мне, Н. Спаркс,22,4.9,АСТ,2016,мягкая обложка,384,Русский,20,1,1,0,0
Кишечник и мозг. Как кишечные бактерии исцеляют и защищают ваш мозг, Д. Перлмуттер,8,5,"Манн, Иванов и Фербер",2017,мягкая обложка,328,Русский,8,0,0,0,0
Хорошо быть тихоней, С. Чбоски,33,4.6,Азбука,2013,твердый переплет,288,Русский,25,5,2,0,1
Тренажер по чистописанию. Послебукварный период. 1 класс. ФГОС," Т. М. Лукина, О. Е. Жиренко",12,5,Вако,2016,мягкая обложка,64,Русский,12,0,0,0,0
"Книга для записи рецептов «Сладкие секреты» (А5, 80 л)",,11,5,,,,,,,,,,
Лампа для чтения «Booky»,,12,4.8,,,,,,,,,,
Книга радости. Как быть счастливым в меняющемся мире, Абрамс Д.,,,"Манн, Иванов и Фербер",2017,суперобложка,384,Русский,,,,,
Флай-планнер. Научись ставить большие цели, С. Гончарова,8,5,Эксмо,2016,мягкая обложка,192,Русский,8,0,0,0,0
"От нуля к единице. Как создать стартап, который изменит будущее", П. Тиль,3,5,Альпина Паблишер,2020,твердый переплет,192,Русский,3,0,0,0,0
Нет оправданий! 21 путь к стабильному успеху и счастью, Б. Трейси,11,4.8,Попурри,2019,твердый переплет,288,Русский,10,0,1,0,0
Капитал: Квинтэссенция всех томов «Капитала» в одной книге, К. Маркс,11,4.7,Азбука-Аттикус,2018,мягкая обложка,512,Русский,10,0,0,1,0
Годовой курс занятий. Для детей 2-3 лет," Т. М. Мазаник, А. Далидович, О. С. Гурская",58,5,Эксмо,2015,интегральный переплет,224,Русский,57,1,0,0,0
Грозовой перевал, Э. Д. Бронте,1,5,Эксмо,2019,твердый переплет,384,Русский,1,0,0,0,0
Тело человека. Энциклопедия для детского сада, Л. В. Клюшник,46,5,Росмэн,2017,твердый переплет,,Русский,44,2,0,0,0
Чувство и чувствительность, Д. Остин,2,5,АСТ,2016,мягкая обложка,384,Русский,2,0,0,0,0
Микромир. Детская энциклопедия,,39,5,Росмэн,2014,твердый переплет,48,Русский,38,1,0,0,0
100 способов изменить жизнь, Лариса Парфентьева,25,4.8,"Манн, Иванов и Фербер",2019,твердый переплет,,Русский,22,2,1,0,0
Карточки развивающие «Учимся читать. Готовимся к школе 5+»,,,,,,,,,,,,,
Анна Каренина, Л. Н. Толстой,36,4.8,Азбука,2018,твердый переплет,864,Русский,33,1,1,1,0
Магия утра. Дневник, Хэл Элрод,17,4.7,"Манн, Иванов и Фербер",2018,мягкая обложка,208,Русский,14,1,2,0,0
"Еда, меняющая жизнь. Откройте тайную силу овощей, фруктов, трав и специй", Э. Уильям,3,3.7,Эксмо,2018,твердый переплет,288,Русский,2,0,0,0,1
451' по Фаренгейту, Р. Брэдбери,32,4.7,Эксмо,2016,твердый переплет,320,Русский,24,5,3,0,0
"Бывшие. Книга о том, как класть на тех, кто хотел класть на тебя", Н. Краснова,68,4.5,АСТ,2018,твердый переплет,272,Русский,54,5,3,4,2
История с кладбищем, Н. Гейман,20,4.9,АСТ,2014,суперобложка,320,Русский,19,0,1,0,0
Мандалы. Мини-раскраска-антистресс для творчества и вдохновения,,21,4.7,Эксмо,2015,мягкая обложка,128,Русский,15,5,1,0,0
Общая психология: Учебник для вузов, А. Г. Маклаков,3,5,Питер,2019,твердый переплет,592,Русский,3,0,0,0,0
16 уроков Английского языка. Начальный курс (+2DVD), Д. Ю. Петров,17,4.8,Эксмо,2014,твердый переплет,224,Русский,15,0,2,0,0
Расплетая закат, Э. Лим,,,Эксмо,2020,твердый переплет,416,Русский,,,,,
Наедине с собой, Марк Аврелий А.,3,4,АСТ,2018,мягкая обложка,192,Русский,2,0,0,1,0
Убить пересмешника, Х. Ли,6,5,АСТ,2017,твердый переплет,416,Русский,6,0,0,0,0
Слово живое и мертвое, Н. Галь,2,5,АСТ,2019,мягкая обложка,384,Русский,2,0,0,0,0
Один из нас лжет, К. М. Макманус,2,5,АСТ,2019,твердый переплет,352,Русский,2,0,0,0,0
Скорбь Сатаны, М. Корелли,2,5,АСТ,2019,мягкая обложка,512,Русский,2,0,0,0,0
Чудеса света,,34,4.9,Росмэн,2014,твердый переплет,48,Русский,32,2,0,0,0
Королева ничего, Х. Блэк,5,5,Freedom,2020,твердый переплет,480,Русский,5,0,0,0,0
Любовь на всю жизнь. Руководство для пар," Х. Хендрикс, Х. Хант",,,"Манн, Иванов и Фербер",2019,мягкая обложка,320,Русский,,,,,
В метре друг от друга," Р. Липпинкотт, М. Дотри, Т. Иаконис",48,4.9,Эксмо,2019,твердый переплет,352,Русский,44,3,0,1,0
"BTS. Биография группы, покорившей мир", Э. Бесли,63,4.9,Бомбора,2018,твердый переплет,240,Русский,59,2,0,1,1
Код да Винчи, Д. Браун,26,4.9,АСТ,2013,твердый переплет,544,Русский,24,2,0,0,0
Десять негритят, А. Кристи,25,5,Эксмо,2016,твердый переплет,320,Русский,25,0,0,0,0
Мой блокнот. Икигай, А.-С. Левек-Бриансо,,,Попурри,2019,мягкая обложка,96,Русский,,,,,
Мой блокнот. Идеальный тайминг, С. Невиль,,,Попурри,2019,мягкая обложка,,Русский,,,,,
Таро Уэйта-Крайона. Колода карт и толкования Нового времени, Т. Шмидт,,,АСТ,2019,мягкая обложка,128,Русский,,,,,
"Поступай как женщина, думай как мужчина. И другие бестселлеры Стива Харви под одной обложкой", С. Харви,5,4,Эксмо,2018,твердый переплет,528,Русский,2,1,2,0,0
Египетский ребус, Х. Вебб,29,4.7,Эксмо,2016,твердый переплет,224,Русский,23,5,0,1,0
Щенок под прикрытием, Х. Вебб,28,4.9,Эксмо,2016,твердый переплет,224,Русский,26,1,1,0,0
Американская трагедия, Т. Драйзер,1,5,АСТ,2019,мягкая обложка,1024,Русский,1,0,0,0,0
Волшебные миры Хаяо Миядзаки, С. Нейпир,3,5,Бомбора,2019,твердый переплет,416,Русский,3,0,0,0,0
Империя ангелов, Б. Вербер,19,4.7,РИПОЛ классик,2017,мягкая обложка,448,Русский,16,2,0,1,0
Логопедический букварь, О. С. Жукова,11,5,АСТ,2016,твердый переплет,128,от 5 до 7 лет,11,0,0,0,0
"Весь курс начальной школы в схемах и таблицах. 1-4 классы. Русский язык, математика, окружающий мир"," О. В. Узорова, Е. А. Нефедова",9,5,АСТ,2016,твердый переплет,432,1-4 классы,9,0,0,0,0
2500 тестовых заданий по математике. 1 класс. Все темы. Все варианты заданий. Крупный шрифт," О. В. Узорова, Е. А. Нефедова",3,4.3,АСТ,2018,мягкая обложка,,Русский,1,2,0,0,0
100 познавательных текстов для обучения детей чтению," О. В. Узорова, Е. А. Нефедова",9,4.7,АСТ,2016,мягкая обложка,96,1-4 классы,6,3,0,0,0
Время - деньги!, Б. Франклин,15,4.3,АСТ,2013,твердый переплет,320,Русский,7,6,2,0,0
После тебя, Дж. Мойес,2,3.5,Азбука-Аттикус,2019,мягкая обложка,544,Русский,1,0,0,1,0
Зелень для жизни. Реальная история оздоровления, В. В. Бутенко,10,4.8,Питер,2018,мягкая обложка,192,Русский,9,0,1,0,0
Французский язык с нуля. Интенсивный упрощенный курс + звукозапись всех уроков. Самоучитель, В. А. Килеева,2,5,Питер,2017,мягкая обложка,160,Русский,2,0,0,0,0
Қара сөздер, А. Кунанбаев,2,5,Алматыкiтап (Алматыкитап),2020,твердый переплет,224,Казахский,2,0,0,0,0
Общаться с ребенком. Как?, Ю. Б. Гиппенрейтер,27,5,АСТ,2016,мягкая обложка,304,Русский,26,1,0,0,0
Подставка для книг,,23,5,,,,,,,,,,
"Воскреситель, или Анатомия фантастических существ: Утерянный труд доктора Спенсера Блэка", Э. Хадспет,,,АСТ,2019,твердый переплет,192,Русский,,,,,
Набор тетрадей с развивающими заданиями для детей 5-6 лет, С. Пархоменко,,,Банда Умников,2019,мягкая обложка,,Русский,,,,,
Незнакомка из Уайлдфелл-Холла, Э. Бронте,5,4.6,Эксмо,2019,твердый переплет,480,Русский,3,2,0,0,0
Девушка Online, Зои Сагг,31,4.8,АСТ,2015,твердый переплет,352,Русский,29,0,0,2,0
Гроздья гнева, Дж. Стейнбек,15,5,Азбука,2018,твердый переплет,608,Русский,15,0,0,0,0
Аэропорт, А. Хейли,14,5,АСТ,2014,мягкая обложка,608,Русский,14,0,0,0,0
Искусство войны, Сунь-Цзы,17,4.7,Эксмо,2015,мягкая обложка,160,Русский,14,2,0,1,0
Игра престолов, Джордж Мартин,10,4.9,АСТ,2019,твердый переплет,768,Русский,9,1,0,0,0
Очарование женственности, А. Хелен,9,5,Эксмо,2017,твердый переплет,272,Русский,9,0,0,0,0
Маленький принц, А. де Сент-Экзюпери,56,4.8,Эксмо,2017,мягкая обложка,96,Русский,51,3,0,2,0
"Психология эмоций. Я знаю, что ты чувствуешь", П. Экман,7,5,Питер,2018,твердый переплет,336,Русский,7,0,0,0,0
Понедельник начинается в субботу, А. Н. Стругацкий,15,4.7,АСТ,2015,мягкая обложка,320,Русский,14,0,0,0,1
Японская революция по уходу за кожей. Совершенная кожа в любом возрасте, Ч. Саеки,86,4.9,Эксмо,2016,мягкая обложка,128,Русский,81,3,1,0,1
Маугли. Ертегі, Д. Р. Киплинг,6,5,Фолиант,2018,твердый переплет,32,Казахский,6,0,0,0,0
Если с ребенком трудно, Л. В. Петрановская,46,5,АСТ,2016,мягкая обложка,144,Русский,46,0,0,0,0
"Словарь для запоминания английского. Лучше иметь способность — ability, чем слабость — debility", Голаголия,2,5,АСТ,2019,твердый переплет,384,словари,2,0,0,0,0
Приключения Незнайки и его друзей, Н. Н. Носов,45,4.8,Самовар,2017,твердый переплет,160,Русский,38,7,0,0,0
